timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-05-21T13:45:29,TFG-IA-UQ,33e65dce-b3c7-4902-8dd5-09af85846332,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,589.880008,0.0013830419811156,2.3446157902602846e-06,42.5,0.0,6.0,0.0069632529297125,0,0.0009829808026383,0.0079462337323508,Spain,ESP,catalonia,,,macOS-15.5-arm64-arm-64bit,3.9.21,3.0.1,10,Apple M2 Pro,,,2.2032,41.4481,32.0,machine,N,1.0
2025-05-21T13:48:36,TFG-IA-UQ,4ceae620-f32c-4473-847e-76847e540acb,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,6.663424541999998,1.562261967379405e-05,2.34453314137853e-06,42.5,0.0,6.0,7.865692566944442e-05,0,1.1102451944999995e-05,8.975937761444441e-05,Spain,ESP,catalonia,,,macOS-15.5-arm64-arm-64bit,3.9.21,3.0.1,10,Apple M2 Pro,,,2.2032,41.4481,32.0,machine,N,1.0
2025-05-29T00:20:06,TFG-IA-UQ,d1a6ee9b-f935-4ad2-857a-9475f4028e8b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3225.165529541,0.0075615808416402,2.3445558909704764e-06,42.5,0.0,6.0,0.0380709123336583,0,0.0053739646651366,0.0434448769987949,Spain,ESP,catalonia,,,macOS-15.5-arm64-arm-64bit,3.9.21,3.0.1,10,Apple M2 Pro,,,2.1754,41.4044,32.0,machine,N,1.0
2025-05-29T00:24:36,TFG-IA-UQ,7419a305-5002-41a5-bd49-071d40098cae,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,81.20488675,0.0001903859011666,2.344512858601731e-06,42.5,0.0,6.0,0.0009585505805805,0,0.0001353069383316,0.0010938575189122,Spain,ESP,catalonia,,,macOS-15.5-arm64-arm-64bit,3.9.21,3.0.1,10,Apple M2 Pro,,,2.1754,41.4044,32.0,machine,N,1.0
2025-05-29T15:09:28,TFG-IA-UQ,fcbb6d97-0cc7-48b5-a299-358eb2517401,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,24595.0980325,0.0576639216672222,2.3445290435933624e-06,42.5,0.0,6.0,0.2903258512366828,0,0.0409807943664317,0.3313066456031152,Spain,ESP,catalonia,,,macOS-15.5-arm64-arm-64bit,3.9.21,3.0.1,10,Apple M2 Pro,,,2.1754,41.4044,32.0,machine,N,1.0
2025-06-02T16:22:39,TFG-IA-UQ,ecfc6481-1c78-4956-b7fd-766063f4de90,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,43.638820749999994,0.0001022409194728,2.3428891458497794e-06,42.5,0.0,6.0,0.0005147630807659,0,7.265961083333333e-05,0.0005874226915993,Spain,ESP,catalonia,,,macOS-15.5-arm64-arm-64bit,3.9.21,3.0.1,10,Apple M2 Pro,,,2.2032,41.4481,32.0,machine,N,1.0
2025-06-02T16:24:39,TFG-IA-UQ,ed2872ed-43cc-422c-8bfe-94b70c5909e9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,39.61421274999998,9.28546998148198e-05,2.3439743811347062e-06,42.5,0.0,6.0,0.0004675022922374,0,6.599210485999996e-05,0.0005334943970974,Spain,ESP,catalonia,,,macOS-15.5-arm64-arm-64bit,3.9.21,3.0.1,10,Apple M2 Pro,,,2.2032,41.4481,32.0,machine,N,1.0
2025-06-02T16:30:22,TFG-IA-UQ,84e6e9a8-e7d8-4557-a33d-3470a6cb31ad,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,304.306019084,0.000713302034152,2.344028673172954e-06,42.5,0.0,6.0,0.0035913690959201,0,0.0005068902212416,0.0040982593171618,Spain,ESP,catalonia,,,macOS-15.5-arm64-arm-64bit,3.9.21,3.0.1,10,Apple M2 Pro,,,2.2032,41.4481,32.0,machine,N,1.0
2025-06-02T16:45:49,TFG-IA-UQ,060c3717-62a3-4da4-b210-fcba9794e49a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,60.853809499996714,0.00014266692076,2.3444205372234873e-06,42.5,0.0,6.0,0.0007182931335686,0,0.0001013961554866,0.0008196892890553,Spain,ESP,catalonia,,,macOS-15.5-arm64-arm-64bit,3.9.21,3.0.1,10,Apple M2 Pro,,,2.2032,41.4481,32.0,machine,N,1.0
2025-06-02T17:13:01,TFG-IA-UQ,a168df74-70f5-4a38-bafb-7e87ce50d154,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,6.4671131660002175,1.5161029115499883e-05,2.344327171388696e-06,42.5,0.0,6.0,7.633210581597641e-05,0,1.077521458333346e-05,8.710732039930987e-05,Spain,ESP,catalonia,,,macOS-15.5-arm64-arm-64bit,3.9.21,3.0.1,10,Apple M2 Pro,,,2.2032,41.4481,32.0,machine,N,1.0
2025-06-14T10:53:27,TFG-IA-UQ,ea943318-1826-49e5-99b8-6544483b87dd,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,49.796253459,0.000116726167447,2.3440752935988864e-06,42.5,0.0,6.0,0.0005876999215895,0,8.294740645999999e-05,0.0006706473280495,Spain,ESP,catalonia,,,macOS-15.5-arm64-arm-64bit,3.9.21,3.0.1,10,Apple M2 Pro,,,2.2032,41.4481,32.0,machine,N,1.0
2025-06-14T12:03:50,TFG-IA-UQ,795c39d5-fe11-44f4-9f08-b5e50be4d811,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,8.287093583,1.9427969333185796e-05,2.3443646603726056e-06,42.5,0.0,6.0,9.781541408750002e-05,0,1.3807506528333334e-05,0.0001116229206158,Spain,ESP,catalonia,,,macOS-15.5-arm64-arm-64bit,3.9.21,3.0.1,10,Apple M2 Pro,,,2.2032,41.4481,32.0,machine,N,1.0
2025-06-22T13:27:05,TFG-IA-UQ,0d396d4c-39f8-4077-a9bf-f0970463d83f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,12.332028041000001,2.8914243939960074e-05,2.3446463017947715e-06,42.5,0.0,6.0,0.00014557548315972222,0,2.0550595208333336e-05,0.00016612607836805556,Spain,ESP,catalonia,,,macOS-15.5-arm64-arm-64bit,3.9.21,3.0.1,10,Apple M2 Pro,,,1.5821,41.2294,32.0,machine,N,1.0
