iter	Logloss
0	0.6730841847
1	0.6526209696
2	0.6344469561
3	0.6170151476
4	0.6025001229
5	0.589025874
6	0.5776649088
7	0.566089535
8	0.5552357972
9	0.5446975259
10	0.5364688275
11	0.5279903754
12	0.5225809734
13	0.5150444496
14	0.5090854058
15	0.5033880794
16	0.4971322553
17	0.4919033246
18	0.4878388632
19	0.4836282769
20	0.4779499284
21	0.4745174155
22	0.4720667386
23	0.4671863598
24	0.4640898068
25	0.4611299653
26	0.4572355419
27	0.4544370639
28	0.4518031477
29	0.4487415278
30	0.4450758896
31	0.4427965389
32	0.4400918819
33	0.4384522369
34	0.4364091747
35	0.4342675962
36	0.4322119314
37	0.4301058888
38	0.4280380802
39	0.4258906122
40	0.4230464884
41	0.4209386729
42	0.4189132006
43	0.4172953509
44	0.4160348388
45	0.4147492429
46	0.4132534816
47	0.4113115927
48	0.4092046873
49	0.4071642061
50	0.4058816432
51	0.4045088766
52	0.4032566308
53	0.4016261082
54	0.4004766629
55	0.3988154793
56	0.3968154121
57	0.3954973534
58	0.3943641459
59	0.3935423612
60	0.3915965577
61	0.3899571432
62	0.3882907674
63	0.3875533015
64	0.3872980956
65	0.385423545
66	0.3841339451
67	0.3838762029
68	0.3830470416
69	0.3818345871
70	0.3806959777
71	0.3801257784
72	0.378661224
73	0.3779193099
74	0.3764648223
75	0.3758809152
76	0.374850827
77	0.3740801114
78	0.3732539606
79	0.3725080055
80	0.3718010428
81	0.3712431615
82	0.3707733438
83	0.3703851567
84	0.3691116836
85	0.3681400368
86	0.3662538562
87	0.3647143557
88	0.3638196068
89	0.3632545697
90	0.3622228959
91	0.3617632807
92	0.3612507072
93	0.3604096073
94	0.3589969126
95	0.3578752056
96	0.3573808869
97	0.3563198543
98	0.3544511364
99	0.3540082709
